1,1,1,1,
2,1,2,1,
3,1,3,1,
4,1,4,1,
5,1,5,1,
6,1,6,1,
7,1,7,1,
8,1,8,1,
9,2,1,2,
10,2,2,1,
11,2,3,1,
12,2,4,1,
13,2,5,1,
14,2,6,2,
15,2,7,1,
16,2,8,1,
17,3,1,2,
18,3,2,1,
19,3,3,1,
20,3,4,1,
21,3,5,1,
22,3,6,1,
23,3,7,1,
24,3,8,1,
25,4,1,2,
26,4,2,2,
27,4,3,1,
28,4,4,2,
29,4,5,1,
30,4,6,2,
31,4,7,1,
32,4,8,2,
33,5,1,2,
34,5,2,2,
35,5,3,1,
36,5,4,2,
37,5,5,2,
38,5,6,2,
39,5,7,2,
40,5,8,2,
41,6,1,1,
42,6,2,1,
43,6,3,1,
44,6,4,2,
45,6,5,2,
46,6,6,2,
47,6,7,2,
48,6,8,2,
49,7,1,2,
50,7,2,1,
51,7,3,1,
52,7,4,2,
53,7,5,1,
54,7,6,1,
55,7,7,1,
56,7,8,1,
57,8,1,2,
58,8,2,1,
59,8,3,1,
60,8,4,2,
61,8,5,1,
62,8,6,1,
63,8,7,1,
64,8,8,2,
65,9,1,2,
66,9,2,1,
67,9,3,1,
68,9,4,1,
69,9,5,2,
70,9,6,1,
71,9,7,2,
72,9,8,2,
73,10,1,1,
74,10,2,1,
75,10,3,1,
76,10,4,1,
77,10,5,2,
78,10,6,2,
79,10,7,2,
80,10,8,2,
81,11,1,2,
82,11,2,1,
83,11,3,1,
84,11,4,1,
85,11,5,1,
86,11,6,2,
87,11,7,1,
88,11,8,2,
89,12,1,1,
90,12,2,2,
91,12,3,1,
92,12,4,2,
93,12,5,2,
94,12,6,2,
95,12,7,2,
96,12,8,1,
97,13,1,2,
98,13,2,1,
99,13,3,1,
100,13,4,2,
101,13,5,2,
102,13,6,1,
103,13,7,2,
104,13,8,2,
105,14,1,2,
106,14,2,2,
107,14,3,1,
108,14,4,1,
109,14,5,1,
110,14,6,1,
111,14,7,1,
112,14,8,2,
113,15,1,2,
114,15,2,2,
115,15,3,1,
116,15,4,2,
117,15,5,2,
118,15,6,2,
119,15,7,2,
120,15,8,1,
121,16,1,1,
122,16,2,1,
123,16,3,1,
124,16,4,1,
125,16,5,1,
126,16,6,2,
127,16,7,1,
128,16,8,2,
129,17,1,1,
130,17,2,1,
131,17,3,1,
132,17,4,1,
133,17,5,1,
134,17,6,2,
135,17,7,1,
136,17,8,2,
137,18,1,1,
138,18,2,2,
139,18,3,1,
140,18,4,2,
141,18,5,2,
142,18,6,2,
143,18,7,2,
144,18,8,2,
145,19,1,2,
146,19,2,1,
147,19,3,1,
148,19,4,2,
149,19,5,1,
150,19,6,2,
151,19,7,1,
152,19,8,1,
153,20,1,2,
154,20,2,2,
155,20,3,2,
156,20,4,2,
157,20,5,2,
158,20,6,2,
159,20,7,2,
160,20,8,2,
161,21,1,1,
162,21,2,1,
163,21,3,2,
164,21,4,2,
165,21,5,1,
166,21,6,2,
167,21,7,1,
168,21,8,2,
169,22,1,2,
170,22,2,3,
171,22,3,2,
172,22,4,1,
173,22,5,1,
174,22,6,2,
175,22,7,1,
176,22,8,1,
177,23,1,1,
178,23,2,2,
179,23,3,2,
180,23,4,2,
181,23,5,2,
182,23,6,2,
183,23,7,1,
184,23,8,2,
