1,あっさり？がっつり？,あっさり,がっつり
2,立地は？,近場がいい,遠くてもOK
3,店内？テイクアウト？,店内,テイクアウト
4,喫煙？禁煙？,喫煙,禁煙
5,個室ありがいい？,ありがいい,どちらでもOK
6,予算は？,1000円以内,1000円以上でもOK
7,雰囲気は？,落ち着き,ガヤガヤ
8,バウチャーは？,使いたい,どちらでもOK
